注册时间,注册资本,行业,区域,企业类型,控制人类型,控制人持股比例
2007,3490,零售业,湖南,集体所有制企业,企业法人,0.88
2012,7530,工业,江西,合伙企业,自然人,0.97
2008,5780,NA,福建,合伙企业,自然人,0.9
2001,6350,商业服务业,湖北,合伙企业,自然人,0.53
2010,4390,服务业,湖北,股份有限公司,企业法人,0.72
2007,2460,零售业,NA,合伙企业,企业法人,0.53
2005,3490,交通运输业,湖南,NA,企业法人,0.98
2006,3700,零售业,湖北,有限责任公司,企业法人,0.85
2002,1850,服务业,湖北,股份有限公司,自然人,0.87
2000,9370,商业服务业,湖南,有限责任公司,自然人,0.67
2008,6640,零售业,广西,合伙企业,企业法人,0.7
2007,7630,社区服务,福建,有限责任公司,自然人,0.63
2013,7760,商业服务业,广东,农民专业合作社,自然人,0.59
2012,9840,零售业,山东,有限责任公司,企业法人,0.63
2004,3350,工业,山东,股份有限公司,企业法人,0.99
2005,2410,社区服务,广西,合伙企业,自然人,0.6
2013,7850,商业服务业,广西,股份有限公司,自然人,0.89
2009,8690,工业,湖北,有限责任公司,企业法人,0.62
2000,6650,工业,湖北,集体所有制企业,自然人,0.81
2000,5950,社区服务,江西,有限责任公司,企业法人,0.92
2010,790,零售业,湖南,有限责任公司,企业法人,0.51
2003,8550,服务业,广东,有限责任公司,企业法人,0.93
2013,420,社区服务,山东,集体所有制企业,自然人,0.54
2011,7540,工业,广东,有限责任公司,企业法人,0.77
2012,4480,服务业,江西,农民专业合作社,自然人,0.53
2008,2980,工业,福建,有限责任公司,自然人,0.81
2009,7870,社区服务,广东,集体所有制企业,自然人,0.71
2001,7000,社区服务,湖北,股份有限公司,企业法人,0.93
2006,2350,零售业,福建,有限责任公司,企业法人,0.98
2005,7370,零售业,江西,股份有限公司,企业法人,0.63
2011,8710,工业,广西,合伙企业,自然人,0.69
2005,3470,交通运输业,福建,有限责任公司,企业法人,0.59
2000,5450,零售业,福建,有限责任公司,企业法人,0.78
2008,9150,交通运输业,山东,有限责任公司,自然人,0.86
2013,490,交通运输业,湖南,农民专业合作社,自然人,0.69
2004,1060,零售业,广东,股份有限公司,自然人,0.54
2008,7190,社区服务,山东,农民专业合作社,自然人,0.57
2011,8460,社区服务,湖南,有限责任公司,企业法人,0.87
2011,9850,交通运输业,湖北,有限责任公司,自然人,0.6
2002,6740,交通运输业,山东,合伙企业,自然人,0.71
2005,9840,交通运输业,江西,农民专业合作社,企业法人,0.75
2003,2920,工业,福建,农民专业合作社,企业法人,0.74
2001,3400,社区服务,湖北,股份有限公司,自然人,0.52
2005,5480,商业服务业,广东,股份有限公司,自然人,0.61
2010,6790,社区服务,湖北,农民专业合作社,企业法人,0.59
2009,8510,服务业,湖北,有限责任公司,自然人,0.85
2006,610,工业,福建,农民专业合作社,企业法人,0.66
2013,5500,工业,江西,股份有限公司,自然人,0.82
2013,3600,工业,江西,集体所有制企业,企业法人,0.7
2009,8380,服务业,广东,集体所有制企业,企业法人,0.64
2011,1690,工业,湖南,农民专业合作社,企业法人,0.88
2012,190,零售业,江西,集体所有制企业,企业法人,0.85
2012,1400,交通运输业,广东,合伙企业,企业法人,0.73
2000,1130,服务业,福建,合伙企业,自然人,0.98
2012,9570,零售业,广东,合伙企业,企业法人,0.91
2002,2310,工业,江西,股份有限公司,企业法人,0.75
2014,7860,社区服务,湖北,股份有限公司,自然人,0.75
2002,1460,社区服务,湖北,集体所有制企业,自然人,0.59
2003,3780,零售业,广西,合伙企业,企业法人,0.73
2009,2950,NA,广西,合伙企业,企业法人,0.71
2006,1810,商业服务业,广东,集体所有制企业,自然人,0.58
2008,2830,社区服务,福建,有限责任公司,企业法人,0.65
2007,6440,零售业,山东,农民专业合作社,自然人,NA
2001,7450,商业服务业,湖南,农民专业合作社,自然人,1
2005,4590,社区服务,福建,股份有限公司,自然人,NA
2012,8350,零售业,广东,农民专业合作社,企业法人,0.76
2007,2380,工业,湖南,合伙企业,自然人,0.8
2001,580,社区服务,山东,农民专业合作社,企业法人,0.77
2003,7730,服务业,山东,集体所有制企业,自然人,0.93
2009,1340,工业,湖南,集体所有制企业,企业法人,0.53
2008,4890,社区服务,江西,合伙企业,自然人,0.8
2000,9470,服务业,广东,农民专业合作社,企业法人,0.93
2002,6050,交通运输业,湖北,集体所有制企业,自然人,0.74
2000,2120,工业,广东,股份有限公司,自然人,0.54
2001,4330,商业服务业,福建,农民专业合作社,企业法人,0.85
2008,310,工业,湖南,集体所有制企业,自然人,0.59
2008,7420,交通运输业,广西,合伙企业,企业法人,1
2007,260,社区服务,湖南,有限责任公司,自然人,0.97
2008,9870,服务业,湖南,集体所有制企业,自然人,0.61
2000,1580,工业,湖北,有限责任公司,自然人,0.54
2009,8880,服务业,福建,合伙企业,自然人,0.84
2001,9490,交通运输业,湖南,股份有限公司,企业法人,0.53
2008,4580,交通运输业,湖北,NA,自然人,0.87
NA,4520,商业服务业,广西,农民专业合作社,自然人,0.56
2001,3990,社区服务,江西,合伙企业,企业法人,0.77
2001,2420,工业,福建,集体所有制企业,企业法人,0.89
2005,7270,商业服务业,江西,合伙企业,企业法人,0.99
2006,4820,零售业,广东,有限责任公司,企业法人,0.69
2008,3480,服务业,江西,合伙企业,自然人,0.79
2006,5290,商业服务业,广东,有限责任公司,企业法人,0.71
2014,1650,社区服务,江西,农民专业合作社,自然人,0.94
2002,2460,工业,湖北,有限责任公司,自然人,0.66
2002,9070,商业服务业,江西,集体所有制企业,企业法人,0.99
2005,1730,零售业,江西,集体所有制企业,自然人,0.99
2010,2520,零售业,广东,股份有限公司,自然人,0.58
2008,5480,零售业,福建,集体所有制企业,自然人,0.53
2012,3120,社区服务,山东,股份有限公司,自然人,0.6
2002,3120,工业,广西,集体所有制企业,自然人,0.74
2004,710,工业,福建,农民专业合作社,企业法人,0.61
2004,5710,服务业,福建,股份有限公司,企业法人,0.72
2006,4410,商业服务业,湖北,股份有限公司,企业法人,0.97
2004,9200,工业,广东,合伙企业,自然人,0.74
2003,5350,交通运输业,湖南,集体所有制企业,企业法人,0.52
2002,7420,交通运输业,湖北,农民专业合作社,企业法人,0.63
2007,9260,交通运输业,山东,农民专业合作社,企业法人,0.69
2004,1630,服务业,山东,合伙企业,自然人,0.61
2001,8310,服务业,山东,合伙企业,自然人,0.62
2012,3460,交通运输业,福建,有限责任公司,企业法人,0.83
2007,6510,工业,福建,合伙企业,企业法人,0.54
2001,4560,零售业,湖北,有限责任公司,企业法人,0.82
2009,NA,商业服务业,湖南,集体所有制企业,企业法人,0.88
2013,1550,服务业,湖北,合伙企业,自然人,0.61
2009,790,商业服务业,湖北,合伙企业,企业法人,0.56
2004,8650,工业,广西,集体所有制企业,企业法人,0.79
2014,7030,NA,福建,合伙企业,自然人,0.92
2004,9560,商业服务业,广东,有限责任公司,自然人,0.77
2002,9310,服务业,湖北,农民专业合作社,企业法人,0.69
2011,160,社区服务,广东,有限责任公司,自然人,0.52
2010,7700,零售业,广东,合伙企业,企业法人,0.82
2010,7180,交通运输业,广东,有限责任公司,企业法人,0.61
2000,9190,商业服务业,广西,集体所有制企业,企业法人,0.56
2011,3060,交通运输业,江西,有限责任公司,自然人,0.92
2014,7510,服务业,湖南,集体所有制企业,企业法人,0.97
2004,7410,商业服务业,湖北,股份有限公司,NA,0.67
2003,4800,社区服务,湖南,股份有限公司,自然人,0.68
2009,4830,零售业,湖北,合伙企业,自然人,0.51
2000,7120,零售业,广西,股份有限公司,企业法人,0.87
2006,1160,社区服务,广西,集体所有制企业,自然人,0.94
2000,800,社区服务,江西,股份有限公司,企业法人,0.75
2008,3830,服务业,江西,有限责任公司,企业法人,0.67
2009,4730,商业服务业,广西,有限责任公司,自然人,0.6
2009,4570,社区服务,山东,股份有限公司,企业法人,0.51
2011,2920,工业,广西,合伙企业,企业法人,0.68
2007,250,服务业,湖南,集体所有制企业,自然人,0.56
2005,450,零售业,福建,有限责任公司,企业法人,0.76
2009,630,工业,湖南,股份有限公司,自然人,0.73
2014,5190,服务业,广东,有限责任公司,企业法人,0.78
2014,7870,零售业,广西,股份有限公司,自然人,0.93
2014,9090,工业,江西,农民专业合作社,企业法人,0.73
2008,8210,交通运输业,湖北,集体所有制企业,企业法人,0.88
2007,5800,商业服务业,广西,合伙企业,自然人,0.53
2011,NA,零售业,湖北,农民专业合作社,自然人,0.86
2013,4200,社区服务,湖北,有限责任公司,企业法人,0.52
2004,9820,交通运输业,福建,农民专业合作社,自然人,0.69
2014,3940,社区服务,山东,集体所有制企业,企业法人,0.56
2010,7770,零售业,江西,农民专业合作社,自然人,0.91
2002,810,零售业,湖南,合伙企业,企业法人,0.71
2004,6410,服务业,广西,有限责任公司,自然人,0.78
2005,8540,商业服务业,湖北,合伙企业,自然人,NA
2005,1350,社区服务,湖北,有限责任公司,自然人,0.68
2010,2510,商业服务业,江西,合伙企业,自然人,0.53
2001,4590,商业服务业,江西,集体所有制企业,自然人,0.63
2009,2940,工业,江西,股份有限公司,自然人,0.82
2011,640,交通运输业,山东,农民专业合作社,企业法人,0.88
2011,3050,商业服务业,江西,农民专业合作社,企业法人,0.93
2014,3810,工业,湖南,有限责任公司,企业法人,0.68
2011,7100,服务业,山东,农民专业合作社,企业法人,0.64
2010,260,工业,湖北,合伙企业,企业法人,0.57
2012,1420,工业,福建,农民专业合作社,自然人,0.96
2009,8370,工业,广东,农民专业合作社,企业法人,0.72
2004,2820,零售业,广西,NA,企业法人,0.72
2000,8260,社区服务,山东,集体所有制企业,自然人,0.77
2006,2280,社区服务,广东,集体所有制企业,自然人,0.55
2005,2900,服务业,山东,农民专业合作社,企业法人,0.95
2014,9090,服务业,江西,农民专业合作社,企业法人,0.78
2006,5120,零售业,广西,集体所有制企业,自然人,0.99
2000,5290,商业服务业,山东,合伙企业,自然人,0.81
2008,4730,服务业,湖南,集体所有制企业,自然人,0.55
2006,8260,零售业,山东,集体所有制企业,自然人,0.94
2000,3180,零售业,福建,合伙企业,自然人,0.85
2014,9910,社区服务,广东,合伙企业,企业法人,0.74
2002,7590,交通运输业,湖南,集体所有制企业,自然人,0.56
2005,7470,零售业,广西,有限责任公司,企业法人,0.8
2003,9130,社区服务,江西,合伙企业,自然人,0.94
2007,1880,零售业,湖南,有限责任公司,企业法人,0.92
2005,2880,服务业,广西,合伙企业,企业法人,0.64
2014,6890,交通运输业,广东,合伙企业,自然人,0.81
2005,5790,社区服务,广西,合伙企业,企业法人,0.62
2000,3860,工业,山东,集体所有制企业,企业法人,0.68
2014,4020,社区服务,湖北,农民专业合作社,企业法人,0.79
2013,9350,零售业,江西,股份有限公司,自然人,0.53
2005,6580,服务业,湖北,有限责任公司,企业法人,0.66
2002,4610,商业服务业,江西,合伙企业,企业法人,0.52
2000,6810,商业服务业,广东,股份有限公司,自然人,0.8
2011,5630,社区服务,江西,有限责任公司,企业法人,0.89
2000,4670,服务业,山东,有限责任公司,企业法人,0.89
2008,3920,工业,广东,股份有限公司,自然人,0.51
2009,6960,工业,NA,农民专业合作社,自然人,0.63
2002,6920,工业,福建,有限责任公司,自然人,0.7
2002,2360,商业服务业,广西,有限责任公司,自然人,0.81
2012,5040,零售业,湖北,有限责任公司,自然人,0.85
2003,9100,工业,江西,股份有限公司,自然人,0.55
2006,9820,服务业,湖北,农民专业合作社,企业法人,0.51
2006,4730,社区服务,山东,集体所有制企业,自然人,0.59
2004,10000,社区服务,湖南,合伙企业,企业法人,0.81
2006,5540,商业服务业,福建,股份有限公司,企业法人,0.94
2013,5730,零售业,湖北,有限责任公司,自然人,0.68
2005,3250,社区服务,湖北,股份有限公司,自然人,0.68
2004,9680,工业,湖南,股份有限公司,企业法人,0.68
2005,460,零售业,湖北,有限责任公司,自然人,0.56
2010,9270,工业,江西,农民专业合作社,企业法人,0.7
2002,2820,商业服务业,湖北,农民专业合作社,自然人,0.61
2004,7140,工业,广东,集体所有制企业,自然人,0.58
2010,7160,服务业,福建,有限责任公司,企业法人,0.85
2007,5170,交通运输业,湖北,农民专业合作社,自然人,0.89
2000,4530,交通运输业,广东,股份有限公司,自然人,0.6
2004,7770,零售业,广西,合伙企业,企业法人,0.66
2010,6330,NA,江西,农民专业合作社,自然人,0.88
2011,5620,商业服务业,湖北,农民专业合作社,企业法人,0.72
NA,3400,工业,湖南,股份有限公司,自然人,0.52
2010,NA,交通运输业,湖南,股份有限公司,企业法人,0.82
2010,3080,交通运输业,福建,集体所有制企业,自然人,0.71
2002,9160,工业,福建,有限责任公司,自然人,NA
2003,870,商业服务业,NA,合伙企业,自然人,0.62
2000,2150,零售业,山东,股份有限公司,自然人,0.64
2001,480,商业服务业,湖北,合伙企业,企业法人,0.79
2002,8870,工业,江西,股份有限公司,自然人,0.56
2006,7700,工业,福建,合伙企业,自然人,0.83
2006,7400,服务业,湖南,集体所有制企业,企业法人,0.82
2000,8710,零售业,福建,有限责任公司,企业法人,0.75
2002,540,商业服务业,江西,股份有限公司,自然人,0.7
2013,6570,零售业,广西,农民专业合作社,自然人,0.9
2009,1520,工业,江西,集体所有制企业,自然人,1
2008,6570,商业服务业,江西,有限责任公司,自然人,0.83
2006,2830,交通运输业,广东,农民专业合作社,企业法人,0.81
2002,3140,服务业,福建,农民专业合作社,企业法人,0.85
2010,260,社区服务,山东,有限责任公司,自然人,0.71
2007,9850,工业,福建,合伙企业,企业法人,0.88
2011,2550,零售业,山东,股份有限公司,自然人,0.81
2001,7810,工业,湖南,合伙企业,自然人,0.78
2010,3720,零售业,广东,合伙企业,企业法人,0.66
2005,1280,商业服务业,湖南,有限责任公司,自然人,0.58
2005,1200,工业,湖北,农民专业合作社,自然人,0.86
2010,4420,服务业,福建,合伙企业,企业法人,0.86
2008,7510,商业服务业,广东,有限责任公司,企业法人,NA
2012,4810,工业,福建,合伙企业,企业法人,1
2012,7490,服务业,湖北,合伙企业,自然人,0.91
2009,1060,交通运输业,广西,合伙企业,自然人,0.53
2013,4150,工业,广西,集体所有制企业,企业法人,0.86
2003,9710,交通运输业,江西,农民专业合作社,企业法人,0.58
2002,6310,商业服务业,山东,合伙企业,企业法人,0.52
2008,8040,社区服务,湖北,股份有限公司,自然人,0.65
2005,4780,服务业,山东,农民专业合作社,企业法人,0.61
2012,6200,服务业,山东,有限责任公司,企业法人,0.61
2002,1850,商业服务业,山东,集体所有制企业,企业法人,0.72
2010,4530,零售业,山东,股份有限公司,自然人,0.94
2000,7690,商业服务业,福建,合伙企业,企业法人,0.65
2013,2560,社区服务,江西,农民专业合作社,自然人,0.84
2000,2250,社区服务,福建,农民专业合作社,企业法人,1
2007,1540,社区服务,湖北,股份有限公司,企业法人,0.6
2011,3120,服务业,广西,农民专业合作社,企业法人,0.56
2013,5730,零售业,福建,农民专业合作社,自然人,0.7
2002,4860,零售业,江西,NA,企业法人,0.79
2000,8660,零售业,广东,农民专业合作社,自然人,0.81
2014,1590,商业服务业,湖南,集体所有制企业,自然人,0.71
2003,4140,商业服务业,广东,股份有限公司,企业法人,0.74
2005,4530,社区服务,江西,合伙企业,自然人,0.99
2009,9150,零售业,湖北,股份有限公司,企业法人,0.97
NA,6510,零售业,湖南,股份有限公司,企业法人,0.96
2005,5170,工业,福建,合伙企业,企业法人,0.82
2010,3470,交通运输业,福建,股份有限公司,企业法人,1
2013,3160,服务业,湖北,农民专业合作社,自然人,NA
2009,6750,社区服务,福建,农民专业合作社,企业法人,0.89
2010,5740,工业,福建,农民专业合作社,自然人,0.6
2005,2700,交通运输业,湖南,合伙企业,自然人,0.56
2006,5410,交通运输业,广东,合伙企业,企业法人,0.71
2004,5740,交通运输业,湖南,股份有限公司,自然人,0.93
2002,7660,零售业,湖北,股份有限公司,自然人,0.62
2004,5880,交通运输业,山东,股份有限公司,自然人,0.76
2011,4900,社区服务,福建,合伙企业,自然人,0.75
2006,380,零售业,山东,股份有限公司,自然人,0.89
2012,2450,零售业,山东,集体所有制企业,企业法人,0.54
2011,2020,工业,广东,有限责任公司,企业法人,0.54
2009,1480,零售业,山东,农民专业合作社,企业法人,0.73
2014,5410,商业服务业,广西,集体所有制企业,企业法人,0.58
2005,8090,零售业,湖南,有限责任公司,自然人,0.98
2010,8840,商业服务业,江西,集体所有制企业,自然人,0.81
2012,6320,工业,江西,有限责任公司,企业法人,0.56
2000,3240,社区服务,广东,股份有限公司,企业法人,0.64
2012,1930,交通运输业,江西,股份有限公司,企业法人,0.99
2002,1070,零售业,湖北,有限责任公司,自然人,0.74
2006,5790,交通运输业,江西,农民专业合作社,企业法人,0.68
2008,1470,服务业,湖南,农民专业合作社,自然人,0.9
2010,1480,工业,广西,农民专业合作社,企业法人,0.93
2005,8520,社区服务,广西,农民专业合作社,企业法人,0.75
2005,8350,工业,广西,集体所有制企业,企业法人,0.55
2014,510,零售业,广西,合伙企业,自然人,0.97
2005,3840,服务业,广东,合伙企业,自然人,0.53
2001,8690,零售业,江西,农民专业合作社,企业法人,0.85
2013,5430,零售业,广东,农民专业合作社,自然人,0.7
2013,1950,零售业,广西,农民专业合作社,企业法人,0.81
2013,8980,零售业,广西,股份有限公司,自然人,0.87
2010,2830,社区服务,湖北,集体所有制企业,自然人,0.94
2012,2070,零售业,湖南,有限责任公司,自然人,0.92
2005,7210,商业服务业,广西,有限责任公司,自然人,0.55
2007,5090,零售业,湖北,合伙企业,企业法人,0.82
2006,9670,社区服务,广西,集体所有制企业,企业法人,0.89
2001,5100,交通运输业,山东,股份有限公司,企业法人,0.52
2014,4630,商业服务业,广东,农民专业合作社,企业法人,0.54
2006,7890,服务业,广东,股份有限公司,企业法人,0.94
2014,8430,商业服务业,江西,合伙企业,企业法人,0.93
2006,6650,交通运输业,山东,合伙企业,企业法人,0.56
2013,410,服务业,福建,合伙企业,自然人,0.55
2003,4710,零售业,广西,股份有限公司,自然人,0.63
2011,420,工业,湖北,集体所有制企业,企业法人,0.87
2006,1880,交通运输业,广东,集体所有制企业,自然人,0.57
2012,9750,零售业,山东,股份有限公司,自然人,0.78
2006,9010,工业,广东,有限责任公司,自然人,0.97
2013,4170,交通运输业,广西,有限责任公司,企业法人,0.74
2005,7540,社区服务,福建,农民专业合作社,企业法人,0.99
2012,6960,社区服务,广西,有限责任公司,企业法人,0.74
2006,4520,零售业,山东,集体所有制企业,企业法人,0.67
2006,7770,工业,江西,农民专业合作社,企业法人,0.54
2001,1860,社区服务,广东,股份有限公司,自然人,0.95
2009,6010,交通运输业,湖北,集体所有制企业,企业法人,0.84
2010,7000,社区服务,福建,合伙企业,企业法人,0.79
2012,3350,零售业,山东,农民专业合作社,企业法人,0.58
2003,9490,NA,广西,农民专业合作社,自然人,0.68
2014,8530,工业,江西,有限责任公司,企业法人,0.68
2010,5970,交通运输业,福建,农民专业合作社,企业法人,0.86
2003,960,零售业,广东,集体所有制企业,企业法人,0.59
2007,4760,社区服务,山东,合伙企业,企业法人,0.85
2001,1230,商业服务业,湖南,集体所有制企业,企业法人,0.88
2009,1670,商业服务业,广西,股份有限公司,自然人,0.51
2008,140,商业服务业,福建,集体所有制企业,自然人,0.87
2004,9890,工业,广东,集体所有制企业,自然人,0.83
2003,5000,服务业,广西,有限责任公司,企业法人,0.79
2014,6690,零售业,山东,股份有限公司,企业法人,0.79
2001,240,零售业,福建,农民专业合作社,企业法人,0.53
2010,7520,服务业,广西,合伙企业,企业法人,0.53
2001,2580,服务业,广西,农民专业合作社,企业法人,0.79
2005,8350,零售业,广东,农民专业合作社,企业法人,0.73
2000,1200,交通运输业,广西,有限责任公司,自然人,0.64
2004,7640,社区服务,福建,农民专业合作社,自然人,0.7
2007,2960,服务业,广西,有限责任公司,自然人,0.88
2002,9810,商业服务业,湖南,农民专业合作社,自然人,0.67
2008,6580,工业,江西,集体所有制企业,企业法人,0.52
2013,8180,商业服务业,广西,合伙企业,自然人,0.55
2010,3690,服务业,江西,农民专业合作社,企业法人,0.56
2013,2720,工业,湖北,合伙企业,自然人,0.84
2008,6910,零售业,广东,农民专业合作社,企业法人,0.53
2003,9430,服务业,广西,合伙企业,企业法人,0.95
2007,5640,工业,广西,合伙企业,自然人,0.75
2006,2440,服务业,福建,农民专业合作社,自然人,0.92
2010,7670,服务业,福建,股份有限公司,自然人,1
2000,5350,工业,江西,合伙企业,企业法人,0.71
NA,4310,服务业,广西,合伙企业,企业法人,0.66
2012,8070,交通运输业,广东,股份有限公司,企业法人,0.76
2000,6120,交通运输业,福建,合伙企业,企业法人,0.9
2001,1750,零售业,江西,集体所有制企业,企业法人,0.85
2009,6720,商业服务业,山东,农民专业合作社,自然人,0.7
2008,9850,交通运输业,广西,股份有限公司,自然人,0.58
2004,270,社区服务,江西,农民专业合作社,企业法人,1
2010,7800,社区服务,福建,合伙企业,企业法人,0.52
2002,7870,零售业,NA,有限责任公司,企业法人,0.63
NA,970,零售业,福建,集体所有制企业,自然人,0.57
2008,4250,工业,广东,有限责任公司,自然人,0.79
2014,8420,服务业,江西,合伙企业,企业法人,0.82
2006,8050,商业服务业,湖北,有限责任公司,企业法人,0.87
2004,7350,交通运输业,湖南,有限责任公司,自然人,0.81
2005,3330,社区服务,江西,集体所有制企业,企业法人,0.84
2009,1480,商业服务业,湖南,有限责任公司,企业法人,0.76
2003,710,零售业,湖南,有限责任公司,自然人,0.82
2014,6470,工业,湖南,合伙企业,企业法人,0.74
2004,5700,工业,湖南,有限责任公司,企业法人,0.66
2007,6170,服务业,广东,有限责任公司,自然人,0.58
2008,4270,服务业,广西,集体所有制企业,自然人,0.65
2002,280,社区服务,江西,农民专业合作社,自然人,0.92
2008,9100,商业服务业,福建,有限责任公司,企业法人,0.51
2008,5150,交通运输业,湖南,合伙企业,自然人,0.55
2013,8570,商业服务业,湖南,有限责任公司,企业法人,0.76
2008,6050,社区服务,湖南,有限责任公司,企业法人,0.53
2011,8520,零售业,山东,股份有限公司,自然人,0.71
2007,9730,交通运输业,山东,NA,企业法人,0.53
2013,4420,零售业,湖北,股份有限公司,自然人,0.89
2009,5240,交通运输业,福建,合伙企业,企业法人,0.9
2012,2390,服务业,福建,合伙企业,自然人,0.98
2011,6750,商业服务业,广西,集体所有制企业,自然人,0.56
2009,2330,交通运输业,广东,有限责任公司,企业法人,0.89
2008,4850,工业,湖南,农民专业合作社,自然人,0.8
2004,7650,零售业,广西,合伙企业,企业法人,0.8
2010,5420,交通运输业,广西,股份有限公司,自然人,0.75
2013,2010,交通运输业,山东,集体所有制企业,企业法人,0.73
2010,6830,交通运输业,山东,集体所有制企业,自然人,0.57
2012,850,零售业,福建,有限责任公司,自然人,0.76
2006,5030,零售业,NA,股份有限公司,自然人,0.54
2014,9130,服务业,江西,农民专业合作社,自然人,1
2009,1520,社区服务,湖北,农民专业合作社,企业法人,0.65
2009,7180,服务业,广西,有限责任公司,企业法人,0.92
2002,8460,零售业,山东,股份有限公司,自然人,0.76
2009,4000,社区服务,湖北,合伙企业,企业法人,0.85
2004,5720,工业,广西,集体所有制企业,自然人,0.8
2008,5670,交通运输业,广东,合伙企业,自然人,0.71
2008,5030,社区服务,湖南,集体所有制企业,企业法人,0.52
2003,7240,服务业,湖南,股份有限公司,企业法人,0.8
2013,5960,工业,福建,股份有限公司,自然人,0.64
2006,210,交通运输业,广西,有限责任公司,企业法人,0.55
2007,910,交通运输业,福建,合伙企业,自然人,0.75
2011,1540,工业,江西,股份有限公司,自然人,0.55
2000,8600,服务业,山东,合伙企业,自然人,0.53
2010,4810,交通运输业,湖南,合伙企业,自然人,0.91
2010,1950,社区服务,湖南,农民专业合作社,企业法人,0.71
2011,5640,交通运输业,湖北,股份有限公司,自然人,0.76
2000,5630,商业服务业,湖北,合伙企业,企业法人,0.95
2007,4340,工业,山东,集体所有制企业,自然人,0.56
2014,2930,工业,广西,有限责任公司,企业法人,0.97
2000,6050,服务业,湖南,股份有限公司,自然人,0.6
2000,450,商业服务业,广西,合伙企业,自然人,0.76
2000,6310,服务业,山东,合伙企业,企业法人,0.66
2009,3600,工业,湖南,股份有限公司,自然人,0.82
2012,4070,商业服务业,江西,合伙企业,自然人,0.72
2004,7310,社区服务,湖北,合伙企业,企业法人,0.87
2011,8220,交通运输业,湖南,合伙企业,企业法人,0.86
2009,640,零售业,广西,有限责任公司,自然人,0.56
2014,2610,服务业,广东,集体所有制企业,自然人,0.99
2002,7820,服务业,湖南,股份有限公司,自然人,0.55
2003,5450,工业,湖南,股份有限公司,企业法人,0.6
2013,430,社区服务,广西,农民专业合作社,自然人,0.95
2005,5890,零售业,湖北,合伙企业,自然人,0.56
2007,8730,商业服务业,江西,农民专业合作社,自然人,0.66
2006,1970,服务业,江西,股份有限公司,企业法人,0.8
2005,2960,商业服务业,江西,农民专业合作社,企业法人,0.97
2000,7210,服务业,湖北,股份有限公司,企业法人,0.69
2002,1390,服务业,福建,有限责任公司,自然人,0.94
2011,NA,交通运输业,江西,农民专业合作社,自然人,0.79
2011,3650,服务业,湖北,农民专业合作社,企业法人,0.62
2009,6940,服务业,江西,合伙企业,自然人,0.85
2011,2760,服务业,广东,合伙企业,自然人,0.95
2006,4600,工业,江西,集体所有制企业,自然人,0.56
2004,6510,零售业,广西,股份有限公司,自然人,0.68
2006,5370,服务业,广西,合伙企业,企业法人,0.58
2010,7900,社区服务,广西,有限责任公司,自然人,0.56
2006,8740,商业服务业,江西,集体所有制企业,企业法人,NA
2001,2220,服务业,江西,合伙企业,企业法人,0.71
2013,6410,交通运输业,湖南,农民专业合作社,企业法人,0.57
2013,8910,服务业,湖南,有限责任公司,企业法人,0.78
2000,2250,服务业,广西,股份有限公司,企业法人,0.93
2006,6600,商业服务业,广西,集体所有制企业,企业法人,0.98
2008,7510,交通运输业,广东,合伙企业,自然人,0.59
2013,4480,工业,江西,股份有限公司,企业法人,0.62
2009,6930,服务业,湖南,农民专业合作社,自然人,0.76
2010,290,商业服务业,广西,股份有限公司,自然人,0.62
2001,2790,社区服务,山东,集体所有制企业,自然人,0.58
2010,6050,零售业,福建,有限责任公司,自然人,0.7
2004,6300,工业,广东,合伙企业,企业法人,0.9
2013,8880,交通运输业,福建,集体所有制企业,企业法人,0.81
2009,2200,商业服务业,广西,集体所有制企业,自然人,0.86
2002,2260,社区服务,福建,股份有限公司,企业法人,0.86
2011,9800,商业服务业,广西,集体所有制企业,自然人,0.83
2012,2330,零售业,湖北,股份有限公司,企业法人,0.73
2003,3340,商业服务业,湖北,有限责任公司,自然人,0.55
2000,250,交通运输业,福建,集体所有制企业,企业法人,0.56
2010,680,社区服务,广东,合伙企业,企业法人,0.82
2005,8990,交通运输业,广东,农民专业合作社,自然人,0.95
2006,1400,社区服务,湖南,股份有限公司,自然人,0.82
2005,5320,零售业,湖南,合伙企业,企业法人,0.76
2003,4540,工业,广西,农民专业合作社,自然人,0.93
2012,8490,服务业,山东,股份有限公司,自然人,0.51
2005,4670,工业,山东,合伙企业,自然人,0.59
2001,3570,零售业,福建,股份有限公司,企业法人,0.95
2011,6570,交通运输业,福建,集体所有制企业,企业法人,0.52
2014,8440,商业服务业,广东,有限责任公司,NA,0.64
2011,6630,交通运输业,广东,有限责任公司,企业法人,0.56
2000,3020,服务业,广东,集体所有制企业,自然人,0.54
2008,6800,工业,福建,农民专业合作社,企业法人,0.75
2004,5310,社区服务,湖北,合伙企业,自然人,0.87
2012,3070,服务业,山东,合伙企业,企业法人,0.91
2005,1050,商业服务业,江西,股份有限公司,自然人,0.93
2002,7620,工业,广东,有限责任公司,企业法人,0.52
2010,6510,交通运输业,湖北,有限责任公司,自然人,0.82
2011,140,商业服务业,山东,集体所有制企业,自然人,0.93
2000,1650,零售业,广西,集体所有制企业,自然人,0.78
2004,9380,服务业,山东,农民专业合作社,自然人,0.8
2008,2020,商业服务业,湖北,集体所有制企业,自然人,0.55
2001,390,NA,福建,合伙企业,自然人,0.67
2008,8360,零售业,江西,有限责任公司,自然人,0.93
